src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors
qlp,39858507,.01,0,,,,,,,,,,,,,48
qlp,39903405,.01,0,,,,,,,,,,,,,48
qlp,39926974,.01,0,,,,,,,,,,,,,48
qlp,40083958,.01,0,,,,,,,,,,,,,48
qlp,41387532,.01,0,,,,,,,,,,,,,48
qlp,42755801,.01,0,,,,,,,,,,,,,48
qlp,42821097,.01,0,,,,,,,,,,,,,48
qlp,43064903,.01,0,,,,,,,,,,,,,48
qlp,43647325,.01,0,,,,,,,,,,,,,48
qlp,44313455,.01,0,,,,,,,,,,,,,48
qlp,44631965,.01,0,,,,,,,,,,,,,48
qlp,44647437,.01,0,,,,,,,,,,,,,48
qlp,44737596,.01,0,,,,,,,,,,,,,48
qlp,44745077,.01,0,,,,,,,,,,,,,48
qlp,44792534,.01,0,,,,,,,,,,,,,48
qlp,44797824,.01,0,,,,,,,,,,,,,48
qlp,46096489,.01,0,,,,,,,,,,,,,48
qlp,46631742,.01,0,,,,,,,,,,,,,48
qlp,47094691,.01,0,,,,,,,,,,,,,48
qlp,47484268,.01,0,,,,,,,,,,,,,48
qlp,47525799,.01,0,,,,,,,,,,,,,48
qlp,47617161,.01,0,,,,,,,,,,,,,48
qlp,47911178,.01,0,,,,,,,,,,,,,48
qlp,48018596,.01,0,,,,,,,,,,,,,48
qlp,48103627,.01,0,,,,,,,,,,,,,48
qlp,48217457,.01,0,,,,,,,,,,,,,48
qlp,48476907,.01,0,,,,,,,,,,,,,48
qlp,48476908,.01,0,,,,,,,,,,,,,48
qlp,48506505,.01,0,,,,,,,,,,,,,48
qlp,49079670,.01,0,,,,,,,,,,,,,48
qlp,49428710,.01,0,,,,,,,,,,,,,48
qlp,49687222,.01,0,,,,,,,,,,,,,48
qlp,49771092,.01,0,,,,,,,,,,,,,48
qlp,49899799,.01,0,,,,,,,,,,,,,48
